num,categories
201148555,health care :: 30; aircraft :: 30; energy :: 25; lighting :: 22.5; medical imaging :: 20; equipment :: 20; power generation :: 17.5; financial service :: 15; oil and gas :: 15; patient monitoring :: 12.5; marine :: 12.5; drilling :: 12.5; manufacturing :: 12.5; aviation :: 12.5; transportation :: 12.5; military :: 12.5; oil & gas :: 12.5; mining :: 10; railroad :: 10; appliance :: 10; technology :: 7.5; liquefied :: 7.5; renewable :: 7.5; drug discovery :: 7.5; pet :: 7.5; energy management :: 7.5; renewable energy :: 7.5; stationary :: 7.5; clinical :: 7.5; diagnostics :: 7.5; natural gas :: 7.5; water :: 7.5; ultrasound :: 5; digital solution :: 5; accessory :: 5; wholesaling :: 5; banking :: 5; diagnostic imaging :: 5; medical diagnostics :: 5; education solution :: 5; nuclear medicine :: 5; physician :: 5; diagnostic :: 5; merchant :: 5; industrial supply :: 5; business solution :: 5; pipeline :: 5; surgery :: 5; healthcare it :: 5; infant care :: 2.5
62599639,health care :: 30; health :: 17.65; medicare :: 12.35; health service :: 12.35; health system :: 10.59; well-being :: 8.82; drug :: 8.82; consultancy :: 8.82; health benefit :: 8.82; life sciences :: 8.82; technology :: 7.06; retirement :: 7.06; government :: 7.06; clinical :: 7.06; physician :: 5.29; hospital :: 5.29; marketplace :: 5.29; network :: 5.29; rebate :: 5.29; software :: 5.29; home health care service :: 3.53; small business :: 3.53; claims processing :: 3.53; specialty pharmacy :: 3.53; health plan :: 3.53; financial service :: 3.53; business process outsourcing :: 3.53; healthcare benefit :: 3.53; public sector :: 3.53; medicaid :: 3.53; pharmacy benefit management :: 3.53; retail :: 3.53; delivery system :: 1.76; hospital and medical service plans :: 1.76; medicare part d :: 1.76; design :: 1.76; prescription drug coverage :: 1.76; wellness :: 1.76; pharmacy service :: 1.76; landscape :: 1.76; disability :: 1.76; health care system :: 1.76; network service :: 1.76; reducing cost :: 1.76; health care service :: 1.76; delivery :: 1.76; race :: 1.76; health insurance :: 1.76; computer networking :: 1.76; clinical solution :: 1.76
201149981,restaurant :: 30; franchising :: 4.56; food :: 4.18; drink :: 2.66; china :: 2.28; sandwich :: 2.28; delivery :: 1.9; drinking places :: 1.14; consumer service :: 1.14; food service :: 1.14; leisure :: 1.14; travel :: 1.14; retailer :: 0.76; buffets :: 0.76; cafeterias :: 0.38; hotels :: 0.38; accommodation :: 0.38; fast food :: 0.38; grill :: 0.38; retail :: 0.38; leasing :: 0.38; burger :: 0.38; decor :: 0.38; waste management :: 0.38; food and beverages :: 0.38; lodging :: 0.38; consultancy :: 0.38; equipment :: 0.38; store :: 0.38; business support service :: 0.38; remediation service :: 0.38; camp :: 0.38
201149935,hotels :: 30; lodging :: 9.11; hotels & resort :: 5.7; luxury :: 3.04; club :: 1.52; motel :: 1.52; accommodation :: 1.14; franchising :: 1.14; camp :: 0.76; resort :: 0.76; restaurant :: 0.76; corporate housing :: 0.76; food :: 0.38; remediation service :: 0.38; casino hotels :: 0.38; associations :: 0.38; amusement :: 0.38; scientific :: 0.38; condominium :: 0.38; golf :: 0.38; cruise lines :: 0.38; inns :: 0.38; leisure :: 0.38; waste management :: 0.38; convention :: 0.38; vacation package :: 0.38; spa :: 0.38; tennis :: 0.38
201115175,mckesson :: 30; scientific :: 18.95; pharmaceutical :: 12.63; distribution :: 11.05; health care :: 11.05; technology solution :: 8.68; drug :: 7.89; clinical :: 7.11; pharmacies :: 6.32; technology :: 6.32; oncology :: 5.53; health :: 4.74; equipment :: 4.74; manufacturing :: 4.74; hospital :: 3.95; outsourcing :: 3.16; surgical :: 3.16; practice management :: 3.16; beauty :: 3.16; biotechnology :: 3.16; business solution :: 3.16; physician :: 2.37; supply chain management solution :: 2.37; software :: 2.37; consultancy :: 2.37; supply chain :: 2.37; patient care :: 2.37; software solution :: 2.37; specialty pharmaceutical :: 2.37; retail :: 2.37; strategic management :: 2.37; clinical solution :: 2.37; healthcare information technology :: 2.37; retail pharmacy :: 2.37; analytics :: 1.58; health service :: 1.58; medical supply :: 1.58; generic pharmaceutical :: 1.58; distribution center :: 1.58; long-term care :: 1.58; surgical solution :: 1.58; network solution :: 1.58; care management :: 1.58; medical imaging :: 1.58; medical product :: 1.58; healthcare service :: 1.58; home care :: 1.58; payment :: 0.79; network performance :: 0.79; home healthcare :: 0.79
201147618,dialysis :: 30; health care :: 18.41; ancillary service :: 10.91; delivery :: 6.14; outpatient :: 6.14; physician :: 6.14; patient :: 6.14; administrative service :: 5.45; administrative support :: 4.77; medical service :: 4.77; social assistance :: 2.05; health service :: 1.36; social responsibility :: 0.68; management service :: 0.68; medical equipment and supplies manufacturing :: 0.68; healthcare facility :: 0.68; leadership development :: 0.68; equipment :: 0.68; clinical :: 0.68; health :: 0.68
33988572,health service :: 30; health care :: 30; social assistance :: 30; outpatient :: 24.71; store :: 22.94; food :: 22.94; mental health :: 14.12; clinic :: 14.12; individual and family services :: 14.12; substance abuse :: 12.35; army :: 12.35; discount :: 10.59; social organizations :: 10.59; grocery :: 8.82; social service :: 8.82; trusts :: 8.82; grantmaking foundations :: 8.82; charitable :: 8.82; religious :: 8.82; waste management :: 7.06; remediation service :: 7.06; supermarket :: 7.06; building inspection services :: 7.06; inspection :: 7.06; used merchandise store :: 7.06; voluntary health organizations :: 7.06; club :: 5.29; furniture :: 5.29; clothing :: 5.29; retail :: 5.29; electronics :: 5.29; general merchandise store :: 5.29; fitting :: 3.53; emergency :: 3.53; sales :: 3.53; youth :: 3.53; lessors of real estate :: 3.53; boys & girl :: 3.53; donation :: 3.53; military :: 3.53; food service :: 3.53; dentists :: 3.53; tax :: 3.53; associations :: 3.53; religious organization :: 3.53; shelter :: 3.53; counseling :: 3.53; homeless :: 3.53; trade :: 3.53; parking :: 3.53
13035239,store :: 30; retail :: 15; discount :: 12.5; grocery :: 10; dollar stores :: 7.5; merchandising :: 7.5; retail dealer :: 7.5; supermarket :: 5; food :: 5; electronics :: 5; beauty :: 5; blankets :: 5; apparel :: 5; battery :: 5; paper product :: 5; pet food :: 5; houseware :: 5; womenswear :: 5; chemical :: 5; cellular :: 5; neighborhood :: 5; automotive :: 5; accessory :: 5; diapers :: 5; food product :: 5; towels :: 5; general merchandise :: 5; stationery :: 5; tobacco :: 5; hardware :: 5; toy :: 5; consumables :: 5; health :: 5; shoes :: 5; fashion accessory :: 5; consumer merchandise :: 2.5; door :: 2.5; general merchandise store :: 2.5; tree :: 2.5; spirit :: 2.5; trade :: 2.5; rural :: 2.5; variety stores :: 2.5
201146917,health care :: 30; hospital :: 28.24; pharmaceutical :: 22.06; health :: 15.88; laboratory :: 12.35; pharmacies :: 11.47; manufacturing :: 11.47; nuclear :: 8.82; healthcare service :: 7.94; surgical :: 7.94; specialty pharmaceutical :: 7.94; consumer products :: 7.06; generic pharmaceutical :: 7.06; medical and surgical :: 6.18; ambulatory surgery center :: 5.29; pharmacy management :: 5.29; clinical :: 5.29; acute care :: 4.41; patient :: 4.41; software :: 4.41; distribution :: 3.53; physician :: 3.53; inventory management :: 1.76; private brand :: 1.76; patient care :: 1.76; pharmacy service :: 1.76; radiopharmaceutical :: 1.76; reducing cost :: 1.76; medical product :: 1.76; medicine :: 1.76; marketing :: 1.76; drug :: 1.76; clinic :: 1.76; healthcare facility :: 1.76; surgery center :: 1.76; health service :: 0.88; biotechnology :: 0.88; apparel :: 0.88; ambulatory :: 0.88; diagnostic substances :: 0.88; safety :: 0.88; fluid :: 0.88; payment :: 0.88; franchising :: 0.88; brokerage :: 0.88; consultancy :: 0.88; merchandiser :: 0.88; drapes :: 0.88; data reporting :: 0.88; chemical :: 0.88
201145706,health care :: 30; group insurance :: 15.56; dental :: 15.56; behavioral health :: 13.33; pharmacy benefit management :: 7.78; disability :: 7.78; vision :: 7.78; health plan :: 7.78; medical management :: 7.78; life insurance :: 6.67; medicare :: 6.67; insurance :: 6.67; medicaid :: 6.67; administrative service :: 6.67; government :: 5.56; college :: 5.56; health insurance :: 5.56; pharmacy :: 5.56; long-term care :: 5.56; compensation :: 5.56; healthcare benefit :: 4.44; pension plans :: 4.44; insurance product :: 4.44; tax :: 4.44; retirement :: 4.44; term life insurance :: 4.44; disability insurance :: 4.44; medicare supplement :: 3.33; pension :: 3.33; annuity :: 3.33; healthcare management :: 3.33; healthcare information technology :: 3.33; hospital and medical service plans :: 2.22; assisted living :: 2.22; nursing :: 2.22; health savings account :: 2.22; data analytics :: 2.22; medical product :: 2.22; health and medical :: 2.22; benefit plan :: 2.22; social assistance :: 2.22; health maintenance organization :: 2.22; preferred provider organization :: 2.22; health service :: 2.22; health :: 2.22; adult day care :: 2.22; insurance carrier :: 2.22; universal life insurance :: 2.22; management service :: 1.11; technology service :: 1.11
